Most Informative Features
('deficits', 'debt', 'entitlement') = True           libert : conser =      5.9 : 1.0
('debt', 'entitlement', 'crisis') = True           libert : conser =      5.9 : 1.0
('word', '\xe2', '\x80\x9c') = True           libera : libert =      5.8 : 1.0
('supreme', 'court', 'ruled') = True           libert : libera =      5.7 : 1.0
    ('george', 'h', 'w') = True           libert : libera =      5.7 : 1.0
('\x80\x9d', '\xe2', '\x80\xa6') = True           libert : libera =      5.7 : 1.0
('\xe2', '\x80\x94', 'people') = True           conser : libert =      5.6 : 1.0
('chinese', 'president', 'xi') = True           conser : libert =      5.6 : 1.0
('week', '\xe2', '\x80\x9c') = True           conser : libert =      5.6 : 1.0
('years', '\xe2', '\x80\x94') = True           conser : libert =      5.6 : 1.0
('\xe2', '\x80\x9c', 'see') = True           conser : libert =      5.6 : 1.0
('fox', 'news\xe2', '\x80\x99') = True           conser : libert =      5.6 : 1.0
('justice', 'cause', 'oppressed') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9c', 'long') = True           libera : libert =      5.4 : 1.0
('\x80\x9c', 'haven\xe2', '\x80\x99') = True           libera : libert =      5.4 : 1.0
('didn\xe2', '\x80\x99', 'even') = True           libera : libert =      5.4 : 1.0
('court\xe2', '\x80\x99', 'ruling') = True           libera : libert =      5.4 : 1.0
('000', 'syrian', 'refugees') = True           libera : libert =      5.4 : 1.0
('fifteen', 'years', 'ago') = True           libera : libert =      5.4 : 1.0
('revolution', '\xe2', '\x80\x9d') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9c', 'case') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9c', 'personal') = True           libera : libert =      5.4 : 1.0
('doesn\xe2', '\x80\x99', 'take') = True           libera : libert =      5.4 : 1.0
('deterioration', 'caused', 'human') = True           libera : libert =      5.4 : 1.0
('street', '\xe2', '\x80\x9d') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9c', 'he\xe2') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9c', 'book') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9d', 'since') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9c', 'special') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9c', 'went') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x93', '1') = True           libera : libert =      5.4 : 1.0
('doesn\xe2', '\x80\x99', 'exist') = True           libera : libert =      5.4 : 1.0
('don\xe2', '\x80\x99', 'mean') = True           libera : libert =      5.4 : 1.0
('title', '\xe2', '\x80\x9c') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x9d', 'asked') = True           libera : libert =      5.4 : 1.0
('can\xe2', '\x80\x99', 'help') = True           libera : libert =      5.4 : 1.0
('\x80\x9d', 'he\xe2', '\x80\x99') = True           libera : libert =      5.4 : 1.0
('environmental', 'deterioration', 'caused') = True           libera : libert =      5.4 : 1.0
('costs', '\xe2', '\x80\x9d') = True           libera : libert =      5.4 : 1.0
('federal', 'funding', 'planned') = True           libera : libert =      5.4 : 1.0
('\xe2', '\x80\x99', '90s') = True           libera : libert =      5.4 : 1.0
('refugees', 'asylum', 'seekers') = True           libera : libert =      5.4 : 1.0
('senator', 'lindsey', 'graham') = True           libera : libert =      5.4 : 1.0
('\x80\x9c', 'first', 'time') = True           libera : libert =      5.4 : 1.0
('donald', 'j', 'trump') = True           libera : libert =      5.4 : 1.0
